text,category
"Hi, Healthy food for diabetic patients Please help.",diabetes
"hi, blood pressure friendly daily ideas",hypertension
Diet for good cardiovascular health,heart_healthy
"Hi, I have jaundice and need a diet plan",jaundice
Foods to eat when you have jaundice Please help.,jaundice
i need a calorie deficit diet plan,weight_management
"Hi, Suggest heart healthy lunch options",heart_healthy
i want a low sodium dinner plan please help.,low_sodium
"I am suffering from jaundice, give me healthy food options Please help.",jaundice
I need food that is good for my heart,heart_healthy
I want a heart healthy dinner plan Please help.,heart_healthy
"I want a mix of carbs, proteins, and fats",balanced_diet
"Hi, I want a high protein snack plan for muscle gain",high_protein
I am vegan and need a plant-based dinner plan,vegan
Weight reduction friendly daily suggestions,weight_management
Healthy veg food only,vegetarian
"No animal products, healthy vegan food",vegan
Diabetic friendly meal suggestions please,diabetes
"No animal products, healthy vegan food",vegan
i want to eat clean and stay fit,general_health
I need a highly nutritious diet for typhoid,typhoid
I have jaundice and need a diet plan,jaundice
Suggest heart healthy snack options,heart_healthy
I need a highly nutritious diet for typhoid,typhoid
"hi, diet for bodybuilding with high protein please help.",high_protein
I need a vegetarian weekly plan without eggs,vegetarian
"hi, diet plan for typhoid patient",typhoid
What should I eat if I have diabetes?,diabetes
Suggest heart healthy daily options Please help.,heart_healthy
"I am suffering from jaundice, give me healthy food options",jaundice
Well rounded balanced diet,balanced_diet
Healthy food for diabetic patients Please help.,diabetes
What should I eat if I have diabetes?,diabetes
Salt free or low sodium meals,low_sodium
"Hi, I want a diet plan for my hypertension",hypertension
"Hi, Vegan weekly options for healthy living",vegan
Low calorie weekly options Please help.,weight_management
high protein diet plan please help.,high_protein
What should I eat if I have diabetes?,diabetes
Plant based vegan meals only,vegan
"Hi, I want a diet plan for my hypertension Please help.",hypertension
I suffer from high BP and need healthy food,hypertension
"hi, what to eat during typhoid?",typhoid
Jaundice friendly lunch suggestions,jaundice
Suggest a balanced breakfast option,balanced_diet
Foods to eat when you have jaundice,jaundice
I need a highly nutritious diet for typhoid,typhoid
"Hi, What should I eat during jaundice recovery?",jaundice
General wellness meal suggestions,general_health
Pure vegan diet plan Please help.,vegan
Veg food recommendations please Please help.,vegetarian
general wellness meal suggestions,general_health
Diet plan for typhoid patient,typhoid
Healthy food for diabetic patients,diabetes
"Hi, Blood pressure friendly lunch ideas Please help.",hypertension
"Hi, I am diabetic and want to plan my diet Please help.",diabetes
Low sodium food for high blood pressure Please help.,hypertension
"Hi, Suggest a high protein lunch option Please help.",high_protein
Veg food recommendations please,vegetarian
"hi, vegetarian options for a healthy lifestyle",vegetarian
"hi, what should i eat during jaundice recovery?",jaundice
"Hi, Looking for sugar-free lunch options for diabetes Please help.",diabetes
salt free or low sodium meals please help.,low_sodium
"Hi, Can you suggest a healthy meal plan for someone with diabetes?",diabetes
I am trying to manage my weight with healthy food Please help.,weight_management
"Hi, I suffer from high BP and need healthy food Please help.",hypertension
i need a highly nutritious diet for typhoid,typhoid
Vegetarian diet plan for the week,vegetarian
"Hi, I need a nutritious daily diet Please help.",general_health
"Hi, Suggest a high protein dinner option",high_protein
Cardio friendly diet plan Please help.,heart_healthy
"Hi, I am a vegetarian and want a snack plan",vegetarian
"Hi, Healthy diet for maintaining my current lifestyle Please help.",general_health
